# mode    freq(cm-1)    alpha    beta2    activity
21  1101.71742   0.2642296   2.0421561  17.4368717
22  1214.25482   0.0000000   0.0000000   0.0000000
23  1281.91069   0.0000000   0.0000000   0.0000000
24  1361.18036   0.5284594   8.1686281  69.7475172
25  1380.70316   0.6605744   6.7548295  66.9199385
26  1507.23806  -2.3780673  23.0920838  416.1287749
27  1592.12232   0.0000000   1.8850694  13.1954861
28  2979.26504   1.8496083  10.0537000  224.3231811
29  3021.14830  -0.2642298  23.2491849  165.8860760
30  3182.01812   0.1321149  18.0652485  127.2421853
31  3193.84097  -0.0000000   9.4253544  65.9774805
32  3208.82883   0.9248042   1.0996237  46.1841938
33  3225.31483  -1.8496084   5.8122964  194.6333853
