# freq/cm-1  Intensity 
-2.94782e+02   4.32160e-06
-2.93282e+02   4.33262e-06
-2.91782e+02   4.34372e-06
-2.90282e+02   4.35489e-06
-2.88782e+02   4.36613e-06
-2.87282e+02   4.37746e-06
-2.85782e+02   4.38886e-06
-2.84282e+02   4.40034e-06
-2.82782e+02   4.41190e-06
-2.81282e+02   4.42355e-06
-2.79782e+02   4.43527e-06
-2.78282e+02   4.44708e-06
-2.76782e+02   4.45898e-06
-2.75282e+02   4.47096e-06
-2.73782e+02   4.48303e-06
-2.72282e+02   4.49519e-06
-2.70782e+02   4.50743e-06
-2.69282e+02   4.51977e-06
-2.67782e+02   4.53221e-06
-2.66282e+02   4.54473e-06
-2.64782e+02   4.55735e-06
-2.63282e+02   4.57007e-06
-2.61782e+02   4.58289e-06
-2.60282e+02   4.59581e-06
-2.58782e+02   4.60882e-06
-2.57282e+02   4.62194e-06
-2.55782e+02   4.63517e-06
-2.54282e+02   4.64850e-06
-2.52782e+02   4.66194e-06
-2.51282e+02   4.67549e-06
-2.49782e+02   4.68915e-06
-2.48282e+02   4.70292e-06
-2.46782e+02   4.71681e-06
-2.45282e+02   4.73081e-06
-2.43782e+02   4.74494e-06
-2.42282e+02   4.75918e-06
-2.40782e+02   4.77354e-06
-2.39282e+02   4.78803e-06
-2.37782e+02   4.80265e-06
-2.36282e+02   4.81739e-06
-2.34782e+02   4.83227e-06
-2.33282e+02   4.84727e-06
-2.31782e+02   4.86242e-06
-2.30282e+02   4.87770e-06
-2.28782e+02   4.89312e-06
-2.27282e+02   4.90868e-06
-2.25782e+02   4.92439e-06
-2.24282e+02   4.94024e-06
-2.22782e+02   4.95624e-06
-2.21282e+02   4.97240e-06
-2.19782e+02   4.98871e-06
-2.18282e+02   5.00518e-06
-2.16782e+02   5.02181e-06
-2.15282e+02   5.03861e-06
-2.13782e+02   5.05557e-06
-2.12282e+02   5.07270e-06
-2.10782e+02   5.09001e-06
